Format: Name, mimetype, size, date&time, user, location code
Downloaded: ['hydrate_lab.pdf', 'application/pdf', '2019-04-03 13:04:53.495912', 'a', []
Downloaded: ['aa', 'text/plain', '2019-04-04 17:01:12.280663', 'a', [1, 1, 1]
Uploaded: ['aa.txt', 'text/plain', '2019-04-04 17:10:57.227451', 'a', [1, 1, 1]
Downloaded: ['aa.txt', 'text/plain', '2019-04-04 17:10:57.227451', 'a', [1, 1, 1]
Downloaded: ['aa', 'text/plain', '2019-04-04 17:30:40.564628', 'a'
Uploaded: ['log.txt', 'text/plain', '2019-04-04 20:31:26.920870', 'a', [1, 1, 1]
Downloaded: ['log.txt', 'text/plain', '2019-04-04 21:09:07.113817', 'a', [1, 1, 1], 'log.txt', 'text/plain', '2019-04-04 21:09:07.113817', 'a', [1, 1, 1]]\n", "Downloaded: ['2015_Hospitality_Tourism_Cluster_Provincial_Exam_FINAL.doc', 'application/msword', '2019-04-04 21:18:40.368144', 'a', [1, 1, 1]
Downloaded: ['AP Physics C Mechanics 2017.pdf', 'application/pdf', '2247135', '2018-05-02T01:02:27.445Z', '2019-05-03 12:39:44.513542', 'a', [1, 1, 1]
Downloaded: ['AP Macro 2017.pdf', 'application/pdf', '4508668', '2018-04-23T22:57:00.563Z', '2019-05-03 12:47:19.677862', 'a', [1, 1, 1]
Downloaded: ['AP Lang 2014.pdf', 'application/pdf', '2382959', '2018-04-23T22:56:08.345Z', '2019-05-03 12:51:42.979631', 'a', [1, 1, 1]
Downloaded: ['AP Stats 2014.pdf', 'application/pdf', '6549861', '2018-04-23T22:59:24.146Z', '2019-05-03 12:54:10.772562', 'a', [1, 1, 1]
Downloaded: ['AP Calc AB 2012.pdf', 'application/pdf', '2912977', '2018-04-23T22:53:46.628Z', '2019-05-03 12:57:57.982154', 'a', [1, 1, 1]
Downloaded: ['AP Calc AB 2012.pdf', 'application/pdf', '2912977', '2018-04-23T22:53:46.628Z', '2019-05-09 12:24:35.217393', 'a', [1, 1, 1]
Uploaded: 
"Downloaded: ['AP Bio 2012.pdf', 'application/pdf', '3017184', '2018-04-23T23:06:25.317Z', '2019-05-15 12:25:01.246066', 'a', [1, 1, 1]]
Downloaded: ['AP Bio 2012.pdf', 'application/pdf', '3017184', '2018-04-23T23:06:25.317Z', '2019-05-15 12:26:42.362727', 'a', [1, 1, 1]]
Downloaded: ['AP Bio 2012.pdf', 'application/pdf', '3017184', '2018-04-23T23:06:25.317Z', '2019-05-15 12:27:48.527556', 'a', [1, 1, 1]]"]
Downloaded: ['text555.docx', 'file', 1279, 'None', '2019-05-30 14:39:12.934815', 'a', [2, 2, 2]]
Uploaded: ['C:/Users/Feraz/Desktop/Resume', '.docx', 18135, 1557692999.9066637, '2019-05-30 22:39:04.065755', 'a', [2, 2, 2]]
Downloaded: ['test585.docx', 'file', 1279, 'None', '2019-05-30 22:40:37.643618', 'a', [2, 2, 2]]
Downloaded: ['test585.docx', 'file', 1279, 'None', '2019-05-30 23:00:09.044665', 'a', [2, 2, 2]]
